brand,Country,Date,ParsedDate,interest,Geo
DemoBrand,United States,2024-01-01,2024-01-01,28.11,US
DemoBrand,United States,2024-01-02,2024-01-02,28.91,US
DemoBrand,United States,2024-01-03,2024-01-03,23.54,US
DemoBrand,United States,2024-01-04,2024-01-04,25.25,US
DemoBrand,United States,2024-01-05,2024-01-05,28.5,US
DemoBrand,United States,2024-01-06,2024-01-06,27.98,US
DemoBrand,United States,2024-01-07,2024-01-07,28.94,US
DemoBrand,United States,2024-01-08,2024-01-08,27.59,US
DemoBrand,United States,2024-01-09,2024-01-09,31.35,US
DemoBrand,United States,2024-01-10,2024-01-10,31.41,US
DemoBrand,United States,2024-01-11,2024-01-11,30.22,US
DemoBrand,United States,2024-01-12,2024-01-12,32.53,US
DemoBrand,United States,2024-01-13,2024-01-13,31.37,US
DemoBrand,United States,2024-01-14,2024-01-14,28.82,US
DemoBrand,United States,2024-01-15,2024-01-15,31.34,US
DemoBrand,United States,2024-01-16,2024-01-16,28.71,US
DemoBrand,United States,2024-01-17,2024-01-17,32.37,US
DemoBrand,United States,2024-01-18,2024-01-18,30.45,US
DemoBrand,United States,2024-01-19,2024-01-19,30.07,US
DemoBrand,United States,2024-01-20,2024-01-20,28.93,US
DemoBrand,United States,2024-01-21,2024-01-21,32.55,US
DemoBrand,United States,2024-01-22,2024-01-22,29.57,US
DemoBrand,United States,2024-01-23,2024-01-23,28.76,US
DemoBrand,United States,2024-01-24,2024-01-24,28.61,US
DemoBrand,United States,2024-01-25,2024-01-25,30.06,US
DemoBrand,United States,2024-01-26,2024-01-26,29.38,US
DemoBrand,United States,2024-01-27,2024-01-27,29.1,US
DemoBrand,United States,2024-01-28,2024-01-28,28.75,US
DemoBrand,United States,2024-01-29,2024-01-29,31.76,US
DemoBrand,United States,2024-01-30,2024-01-30,26.26,US
DemoBrand,United States,2024-01-31,2024-01-31,25.63,US
DemoBrand,United States,2024-02-01,2024-02-01,24.61,US
DemoBrand,United States,2024-02-02,2024-02-02,27.05,US
DemoBrand,United States,2024-02-03,2024-02-03,27.68,US
DemoBrand,United States,2024-02-04,2024-02-04,24.8,US
DemoBrand,United States,2024-02-05,2024-02-05,22.98,US
DemoBrand,United States,2024-02-06,2024-02-06,22.66,US
DemoBrand,United States,2024-02-07,2024-02-07,25.29,US
DemoBrand,United States,2024-02-08,2024-02-08,25.18,US
DemoBrand,United States,2024-02-09,2024-02-09,24.51,US
DemoBrand,United States,2024-02-10,2024-02-10,21.87,US
DemoBrand,United States,2024-02-11,2024-02-11,23.48,US
DemoBrand,United States,2024-02-12,2024-02-12,23.1,US
DemoBrand,United States,2024-02-13,2024-02-13,23.19,US
DemoBrand,United States,2024-02-14,2024-02-14,24.44,US
DemoBrand,United States,2024-02-15,2024-02-15,23.12,US
DemoBrand,United States,2024-02-16,2024-02-16,24.05,US
DemoBrand,United States,2024-02-17,2024-02-17,22.9,US
DemoBrand,United States,2024-02-18,2024-02-18,23.45,US
DemoBrand,United States,2024-02-19,2024-02-19,24.29,US
DemoBrand,United States,2024-02-20,2024-02-20,20.3,US
DemoBrand,United States,2024-02-21,2024-02-21,22.81,US
DemoBrand,United States,2024-02-22,2024-02-22,22.77,US
DemoBrand,United States,2024-02-23,2024-02-23,22.73,US
DemoBrand,United States,2024-02-24,2024-02-24,23.78,US
DemoBrand,United States,2024-02-25,2024-02-25,27.68,US
DemoBrand,United States,2024-02-26,2024-02-26,23.33,US
DemoBrand,United States,2024-02-27,2024-02-27,27.39,US
DemoBrand,United States,2024-02-28,2024-02-28,22.49,US
DemoBrand,United States,2024-02-29,2024-02-29,25.6,US
DemoBrand,United States,2024-03-01,2024-03-01,27.02,US
DemoBrand,United States,2024-03-02,2024-03-02,28.29,US
DemoBrand,United States,2024-03-03,2024-03-03,28.95,US
DemoBrand,United States,2024-03-04,2024-03-04,29.52,US
DemoBrand,United States,2024-03-05,2024-03-05,27.63,US
DemoBrand,United States,2024-03-06,2024-03-06,27.78,US
DemoBrand,United States,2024-03-07,2024-03-07,30.77,US
DemoBrand,United States,2024-03-08,2024-03-08,29.0,US
DemoBrand,United States,2024-03-09,2024-03-09,27.13,US
DemoBrand,United States,2024-03-10,2024-03-10,27.68,US
DemoBrand,United States,2024-03-11,2024-03-11,28.33,US
DemoBrand,United States,2024-03-12,2024-03-12,31.36,US
DemoBrand,United States,2024-03-13,2024-03-13,30.8,US
DemoBrand,United States,2024-03-14,2024-03-14,32.01,US
DemoBrand,United States,2024-03-15,2024-03-15,29.84,US
DemoBrand,United States,2024-03-16,2024-03-16,31.03,US
DemoBrand,United States,2024-03-17,2024-03-17,31.95,US
DemoBrand,United States,2024-03-18,2024-03-18,30.01,US
DemoBrand,United States,2024-03-19,2024-03-19,31.44,US
DemoBrand,United States,2024-03-20,2024-03-20,29.05,US
DemoBrand,United States,2024-03-21,2024-03-21,29.46,US
DemoBrand,United States,2024-03-22,2024-03-22,29.2,US
DemoBrand,United States,2024-03-23,2024-03-23,27.31,US
DemoBrand,United States,2024-03-24,2024-03-24,30.38,US
DemoBrand,United States,2024-03-25,2024-03-25,28.14,US
DemoBrand,United States,2024-03-26,2024-03-26,28.75,US
DemoBrand,United States,2024-03-27,2024-03-27,29.32,US
DemoBrand,United States,2024-03-28,2024-03-28,28.86,US
DemoBrand,United States,2024-03-29,2024-03-29,28.9,US
DemoBrand,United States,2024-03-30,2024-03-30,26.96,US
DemoBrand,United States,2024-03-31,2024-03-31,25.89,US
DemoBrand,United States,2024-04-01,2024-04-01,26.16,US
DemoBrand,United States,2024-04-02,2024-04-02,22.53,US
DemoBrand,United States,2024-04-03,2024-04-03,22.61,US
DemoBrand,United States,2024-04-04,2024-04-04,22.47,US
DemoBrand,United States,2024-04-05,2024-04-05,22.75,US
DemoBrand,United States,2024-04-06,2024-04-06,25.19,US
DemoBrand,United States,2024-04-07,2024-04-07,22.26,US
DemoBrand,United States,2024-04-08,2024-04-08,23.02,US
DemoBrand,United States,2024-04-09,2024-04-09,26.11,US
DemoBrand,United States,2024-04-10,2024-04-10,22.57,US
DemoBrand,United States,2024-04-11,2024-04-11,24.57,US
DemoBrand,United States,2024-04-12,2024-04-12,21.08,US
DemoBrand,United States,2024-04-13,2024-04-13,22.43,US
DemoBrand,United States,2024-04-14,2024-04-14,20.88,US
DemoBrand,United States,2024-04-15,2024-04-15,22.08,US
DemoBrand,United States,2024-04-16,2024-04-16,24.46,US
DemoBrand,United States,2024-04-17,2024-04-17,19.39,US
DemoBrand,United States,2024-04-18,2024-04-18,23.83,US
DemoBrand,United States,2024-04-19,2024-04-19,23.58,US
DemoBrand,United States,2024-04-20,2024-04-20,22.11,US
DemoBrand,United States,2024-04-21,2024-04-21,20.64,US
DemoBrand,United States,2024-04-22,2024-04-22,23.94,US
DemoBrand,United States,2024-04-23,2024-04-23,23.03,US
DemoBrand,United States,2024-04-24,2024-04-24,24.88,US
DemoBrand,United States,2024-04-25,2024-04-25,24.81,US
DemoBrand,United States,2024-04-26,2024-04-26,28.35,US
DemoBrand,United States,2024-04-27,2024-04-27,25.06,US
DemoBrand,United States,2024-04-28,2024-04-28,23.9,US
DemoBrand,United States,2024-04-29,2024-04-29,26.72,US
DemoBrand,United States,2024-04-30,2024-04-30,27.22,US
DemoBrand,United States,2024-05-01,2024-05-01,29.92,US
DemoBrand,United States,2024-05-02,2024-05-02,29.28,US
DemoBrand,United States,2024-05-03,2024-05-03,28.73,US
DemoBrand,United States,2024-05-04,2024-05-04,31.34,US
DemoBrand,United States,2024-05-05,2024-05-05,26.41,US
DemoBrand,United States,2024-05-06,2024-05-06,27.86,US
DemoBrand,United States,2024-05-07,2024-05-07,27.61,US
DemoBrand,United States,2024-05-08,2024-05-08,28.98,US
DemoBrand,United States,2024-05-09,2024-05-09,27.27,US
DemoBrand,United States,2024-05-10,2024-05-10,31.53,US
DemoBrand,United States,2024-05-11,2024-05-11,30.0,US
